Date,Open,High,Low,Close*,Adj. close**,Volume
13-Jun-00,"1,446.00","1,470.42","1,442.38","1,469.44","1,469.44","935,900,000"
12-Jun-00,"1,456.95","1,462.93","1,445.99","1,446.00","1,446.00","774,100,000"
9-Jun-00,"1,461.67","1,472.67","1,454.96","1,456.95","1,456.95","786,000,000"
8-Jun-00,"1,471.36","1,475.65","1,456.49","1,461.67","1,461.67","854,300,000"
7-Jun-00,"1,457.84","1,474.64","1,455.06","1,471.36","1,471.36","854,600,000"
6-Jun-00,"1,467.63","1,471.36","1,454.74","1,457.84","1,457.84","950,100,000"
5-Jun-00,"1,477.26","1,477.28","1,464.68","1,467.63","1,467.63","838,600,000"
2-Jun-00,"1,448.81","1,483.23","1,448.81","1,477.26","1,477.26","1,162,400,000"
1-Jun-00,"1,420.60","1,448.81","1,420.60","1,448.81","1,448.81","960,100,000"
31-May-00,"1,422.44","1,434.49","1,415.50","1,420.60","1,420.60","960,500,000"
30-May-00,"1,378.02","1,422.45","1,378.02","1,422.45","1,422.45","844,200,000"
26-May-00,"1,381.52","1,391.42","1,369.75","1,378.02","1,378.02","722,600,000"
25-May-00,"1,399.05","1,411.65","1,373.93","1,381.52","1,381.52","984,500,000"
24-May-00,"1,373.86","1,401.75","1,361.09","1,399.05","1,399.05","1,152,300,000"
23-May-00,"1,400.72","1,403.77","1,373.43","1,373.86","1,373.86","869,900,000"
22-May-00,"1,406.95","1,410.55","1,368.73","1,400.72","1,400.72","869,000,000"
19-May-00,"1,437.21","1,437.21","1,401.74","1,406.95","1,406.95","853,700,000"
18-May-00,"1,447.80","1,458.04","1,436.59","1,437.21","1,437.21","807,900,000"
17-May-00,"1,466.04","1,466.04","1,441.67","1,447.80","1,447.80","820,500,000"
16-May-00,"1,452.36","1,470.40","1,450.76","1,466.04","1,466.04","955,500,000"
15-May-00,"1,420.96","1,452.39","1,416.54","1,452.36","1,452.36","854,600,000"
12-May-00,"1,407.81","1,430.13","1,407.81","1,420.96","1,420.96","858,200,000"
11-May-00,"1,383.05","1,410.26","1,383.05","1,407.81","1,407.81","953,600,000"
10-May-00,"1,412.14","1,412.14","1,375.14","1,383.05","1,383.05","1,006,400,000"
9-May-00,"1,424.17","1,430.28","1,401.85","1,412.14","1,412.14","896,600,000"
8-May-00,"1,432.63","1,432.63","1,417.05","1,424.17","1,424.17","787,600,000"
5-May-00,"1,409.57","1,436.03","1,405.08","1,432.63","1,432.63","805,500,000"
4-May-00,"1,415.10","1,420.99","1,404.94","1,409.57","1,409.57","925,800,000"
3-May-00,"1,446.29","1,446.29","1,398.36","1,415.10","1,415.10","991,600,000"
2-May-00,"1,468.25","1,468.25","1,445.22","1,446.29","1,446.29","1,011,500,000"
1-May-00,"1,452.43","1,481.51","1,452.43","1,468.25","1,468.25","966,300,000"
28-Apr-00,"1,464.92","1,473.62","1,448.15","1,452.43","1,452.43","984,600,000"
27-Apr-00,"1,460.99","1,469.21","1,434.81","1,464.92","1,464.92","1,111,000,000"
26-Apr-00,"1,477.44","1,482.94","1,456.98","1,460.99","1,460.99","999,600,000"
25-Apr-00,"1,429.86","1,477.67","1,429.86","1,477.44","1,477.44","1,071,100,000"
24-Apr-00,"1,434.54","1,434.54","1,407.13","1,429.86","1,429.86","868,700,000"
20-Apr-00,"1,427.47","1,435.49","1,422.08","1,434.54","1,434.54","896,200,000"
19-Apr-00,"1,441.61","1,447.69","1,424.26","1,427.47","1,427.47","1,001,400,000"
18-Apr-00,"1,401.44","1,441.61","1,397.81","1,441.61","1,441.61","1,109,400,000"
17-Apr-00,"1,356.56","1,401.53","1,346.50","1,401.44","1,401.44","1,204,700,000"
14-Apr-00,"1,440.51","1,440.51","1,339.40","1,356.56","1,356.56","1,279,700,000"
13-Apr-00,"1,467.17","1,477.52","1,439.34","1,440.51","1,440.51","1,032,000,000"
12-Apr-00,"1,500.59","1,509.08","1,466.15","1,467.17","1,467.17","1,175,900,000"
11-Apr-00,"1,504.46","1,512.80","1,486.78","1,500.59","1,500.59","971,400,000"
10-Apr-00,"1,516.35","1,527.19","1,503.35","1,504.46","1,504.46","853,700,000"
7-Apr-00,"1,501.34","1,518.68","1,501.34","1,516.35","1,516.35","891,600,000"
6-Apr-00,"1,487.37","1,511.76","1,487.37","1,501.34","1,501.34","1,008,000,000"
5-Apr-00,"1,494.73","1,506.55","1,478.05","1,487.37","1,487.37","1,110,300,000"
4-Apr-00,"1,505.98","1,526.45","1,416.41","1,494.73","1,494.73","1,515,460,000"
3-Apr-00,"1,498.58","1,507.19","1,486.96","1,505.97","1,505.97","1,021,700,000"
31-Mar-00,"1,487.92","1,519.81","1,484.38","1,498.58","1,498.58","1,227,400,000"
30-Mar-00,"1,508.52","1,517.38","1,474.63","1,487.92","1,487.92","1,193,400,000"
29-Mar-00,"1,507.73","1,521.45","1,497.45","1,508.52","1,508.52","1,061,900,000"
28-Mar-00,"1,523.86","1,527.36","1,507.09","1,507.73","1,507.73","959,100,000"
27-Mar-00,"1,527.46","1,534.63","1,518.46","1,523.86","1,523.86","901,000,000"
24-Mar-00,"1,527.35","1,552.87","1,516.83","1,527.46","1,527.46","1,052,200,000"
23-Mar-00,"1,500.64","1,532.50","1,492.39","1,527.35","1,527.35","1,078,300,000"
22-Mar-00,"1,493.87","1,505.08","1,487.33","1,500.64","1,500.64","1,075,000,000"
21-Mar-00,"1,456.63","1,493.92","1,446.06","1,493.87","1,493.87","1,065,900,000"
20-Mar-00,"1,464.47","1,470.30","1,448.49","1,456.63","1,456.63","920,800,000"
17-Mar-00,"1,458.47","1,477.33","1,453.32","1,464.47","1,464.47","1,295,100,000"
16-Mar-00,"1,392.15","1,458.47","1,392.15","1,458.47","1,458.47","1,482,300,000"
15-Mar-00,"1,359.15","1,397.99","1,356.99","1,392.14","1,392.14","1,302,800,000"
14-Mar-00,"1,383.62","1,395.15","1,359.15","1,359.15","1,359.15","1,094,000,000"
13-Mar-00,"1,395.07","1,398.39","1,364.84","1,383.62","1,383.62","1,016,100,000"
10-Mar-00,"1,401.69","1,413.46","1,392.07","1,395.07","1,395.07","1,138,800,000"
9-Mar-00,"1,366.70","1,401.82","1,357.88","1,401.69","1,401.69","1,123,000,000"
8-Mar-00,"1,355.62","1,373.79","1,346.62","1,366.70","1,366.70","1,203,000,000"
7-Mar-00,"1,391.28","1,399.21","1,349.99","1,355.62","1,355.62","1,314,100,000"
6-Mar-00,"1,409.17","1,409.74","1,384.75","1,391.28","1,391.28","1,029,000,000"
3-Mar-00,"1,381.76","1,410.88","1,381.76","1,409.17","1,409.17","1,150,300,000"
2-Mar-00,"1,379.19","1,386.56","1,370.35","1,381.76","1,381.76","1,198,600,000"
1-Mar-00,"1,366.42","1,383.46","1,366.42","1,379.19","1,379.19","1,274,100,000"
29-Feb-00,"1,348.05","1,369.63","1,348.05","1,366.42","1,366.42","1,204,300,000"
28-Feb-00,"1,333.36","1,360.82","1,325.07","1,348.05","1,348.05","1,026,500,000"
25-Feb-00,"1,353.43","1,362.14","1,329.15","1,333.36","1,333.36","1,065,200,000"
24-Feb-00,"1,360.69","1,364.80","1,329.88","1,353.43","1,353.43","1,215,000,000"
23-Feb-00,"1,352.17","1,370.11","1,342.44","1,360.69","1,360.69","993,700,000"
22-Feb-00,"1,346.09","1,358.11","1,331.88","1,352.17","1,352.17","980,000,000"
18-Feb-00,"1,388.26","1,388.59","1,345.32","1,346.09","1,346.09","1,042,300,000"
17-Feb-00,"1,387.67","1,399.88","1,380.07","1,388.26","1,388.26","1,034,800,000"
16-Feb-00,"1,402.05","1,404.55","1,385.58","1,387.67","1,387.67","1,018,800,000"
15-Feb-00,"1,389.94","1,407.72","1,376.25","1,402.05","1,402.05","1,092,100,000"
14-Feb-00,"1,387.12","1,394.93","1,380.53","1,389.94","1,389.94","927,300,000"
11-Feb-00,"1,416.83","1,416.83","1,378.89","1,387.12","1,387.12","1,025,700,000"
10-Feb-00,"1,411.70","1,422.10","1,406.43","1,416.83","1,416.83","1,058,800,000"
9-Feb-00,"1,441.72","1,444.55","1,411.65","1,411.71","1,411.71","1,050,500,000"
8-Feb-00,"1,424.24","1,441.83","1,424.24","1,441.72","1,441.72","1,047,700,000"
7-Feb-00,"1,424.37","1,427.15","1,413.33","1,424.24","1,424.24","918,100,000"
4-Feb-00,"1,424.97","1,435.91","1,420.63","1,424.37","1,424.37","1,045,100,000"
3-Feb-00,"1,409.12","1,425.78","1,398.52","1,424.97","1,424.97","1,146,500,000"
2-Feb-00,"1,409.28","1,420.61","1,403.49","1,409.12","1,409.12","1,038,600,000"
1-Feb-00,"1,394.46","1,412.49","1,384.79","1,409.28","1,409.28","981,000,000"
31-Jan-00,"1,360.16","1,394.48","1,350.14","1,394.46","1,394.46","993,800,000"
28-Jan-00,"1,398.56","1,398.56","1,356.20","1,360.16","1,360.16","1,095,800,000"
27-Jan-00,"1,404.09","1,418.86","1,370.99","1,398.56","1,398.56","1,129,500,000"
26-Jan-00,"1,410.03","1,412.73","1,400.16","1,404.09","1,404.09","1,117,300,000"
25-Jan-00,"1,401.53","1,414.26","1,388.49","1,410.03","1,410.03","1,073,700,000"
24-Jan-00,"1,441.36","1,454.09","1,395.42","1,401.53","1,401.53","1,115,800,000"
21-Jan-00,"1,445.57","1,453.18","1,439.60","1,441.36","1,441.36","1,209,800,000"
20-Jan-00,"1,455.90","1,465.71","1,438.54","1,445.57","1,445.57","1,100,700,000"
19-Jan-00,"1,455.14","1,461.39","1,448.68","1,455.90","1,455.90","1,087,800,000"
18-Jan-00,"1,465.15","1,465.15","1,451.30","1,455.14","1,455.14","1,056,700,000"
14-Jan-00,"1,449.68","1,473.00","1,449.68","1,465.15","1,465.15","1,085,900,000"
13-Jan-00,"1,432.25","1,454.20","1,432.25","1,449.68","1,449.68","1,030,400,000"
